ID,HeartPy_Metrics
0265,"{'bpm': np.float64(63.14390162844799), 'ibi': np.float64(950.2105263157895), 'sdnn': np.float64(16.420715246196675), 'sdsd': np.float64(9.159814092077838), 'rmssd': np.float64(13.77219446414666), 'pnn20': 0.07481559536354057, 'pnn50': 0.0, 'hr_mad': np.float64(10.0), 'sd1': np.float64(9.738412097417932), 'sd2': np.float64(21.07570071903134), 's': np.float64(644.7925991380228), 'sd1/sd2': np.float64(0.46206824756361026), 'breathingrate': np.float64(0.18832391713747645)}"
0266,"{'bpm': np.float64(73.05840485660457), 'ibi': np.float64(821.2607449856733), 'sdnn': np.float64(78.2384638585917), 'sdsd': np.float64(37.46342684402724), 'rmssd': np.float64(58.30416497534924), 'pnn20': 0.707244212098581, 'pnn50': 0.33980582524271846, 'hr_mad': np.float64(56.0), 'sd1': np.float64(41.215643229903776), 'sd2': np.float64(102.79130263516662), 's': np.float64(13309.701773139073), 'sd1/sd2': np.float64(0.4009643050851193), 'breathingrate': np.float64(0.13083639345120238)}"
0267,"{'bpm': np.float64(77.67427461796078), 'ibi': np.float64(772.4565217391304), 'sdnn': np.float64(54.366386031422856), 'sdsd': np.float64(31.289167183305082), 'rmssd': np.float64(51.512598456071984), 'pnn20': 0.6836115326251897, 'pnn50': 0.3323216995447648, 'hr_mad': np.float64(34.0), 'sd1': np.float64(36.42478529740425), 'sd2': np.float64(67.7787292858377), 's': np.float64(7756.044562631131), 'sd1/sd2': np.float64(0.5374073205738776), 'breathingrate': np.float64(0.20880238216282956)}"
0268,"{'bpm': np.float64(56.64683627590745), 'ibi': np.float64(1059.1941923774955), 'sdnn': np.float64(60.781215179705086), 'sdsd': np.float64(38.450278234341724), 'rmssd': np.float64(61.00005474906816), 'pnn20': 0.700381679389313, 'pnn50': 0.40458015267175573, 'hr_mad': np.float64(35.0), 'sd1': np.float64(43.13339075176166), 'sd2': np.float64(74.34362911766178), 's': np.float64(10074.122557364182), 'sd1/sd2': np.float64(0.5801894696786396), 'breathingrate': np.float64(0.28273516282975064)}"
0269,"{'bpm': np.float64(82.69865875850913), 'ibi': np.float64(725.5256723716382), 'sdnn': np.float64(49.7723909986401), 'sdsd': np.float64(28.152977710003398), 'rmssd': np.float64(41.10510466632617), 'pnn20': 0.48641975308641977, 'pnn50': 0.12098765432098765, 'hr_mad': np.float64(30.0), 'sd1': np.float64(29.065567154715918), 'sd2': np.float64(63.43414593335486), 's': np.float64(5792.309659723866), 'sd1/sd2': np.float64(0.4582006540334407), 'breathingrate': np.float64(0.2695962795713419)}"
0270,"{'bpm': np.float64(76.33579237022859), 'ibi': np.float64(786.0008802816901), 'sdnn': np.float64(41.91619530447115), 'sdsd': np.float64(26.34163479996751), 'rmssd': np.float64(44.56417694918949), 'pnn20': 0.6522140221402214, 'pnn50': 0.2555350553505535, 'hr_mad': np.float64(25.5), 'sd1': np.float64(31.511178807422226), 'sd2': np.float64(50.31464631683807), 's': np.float64(4980.9128950730965), 'sd1/sd2': np.float64(0.6262824269695172), 'breathingrate': np.float64(0.12319546640683622)}"
0271,"{'bpm': np.float64(40.00960450039447), 'ibi': np.float64(1499.6399176954733), 'sdnn': np.float64(186.99754067173498), 'sdsd': np.float64(208.07630545904007), 'rmssd': np.float64(294.6478070693431), 'pnn20': 0.8747072599531616, 'pnn50': 0.7189695550351288, 'hr_mad': np.float64(50.0), 'sd1': np.float64(208.12442666489167), 'sd2': np.float64(177.2883214205926), 's': np.float64(115918.5807654655), 'sd1/sd2': np.float64(1.173931960081818), 'breathingrate': np.float64(0.20581072273865467)}"
0272,"{'bpm': np.float64(48.06291872997379), 'ibi': np.float64(1248.3636363636363), 'sdnn': np.float64(157.3575966489718), 'sdsd': np.float64(123.11035699728922), 'rmssd': np.float64(177.451401797788), 'pnn20': 0.8, 'pnn50': 0.8, 'hr_mad': np.float64(109.0), 'sd1': np.float64(114.74702610525466), 'sd2': np.float64(139.57678890130694), 's': np.float64(50315.815294842294), 'sd1/sd2': np.float64(0.8221067915983573), 'breathingrate': np.float64(0.21846781240897173)}"
0273,"{'bpm': np.float64(48.50432509386994), 'ibi': np.float64(1237.0030895983523), 'sdnn': np.float64(38.50687729620849), 'sdsd': np.float64(24.099767833950906), 'rmssd': np.float64(27.515693741242572), 'pnn20': 0.08453608247422681, 'pnn50': 0.03402061855670103, 'hr_mad': np.float64(10.0), 'sd1': np.float64(19.456484470966636), 'sd2': np.float64(50.86366632294701), 's': np.float64(3109.008475399474), 'sd1/sd2': np.float64(0.38252225758623487), 'breathingrate': np.float64(0.13320789589802937)}"
0274,"{'bpm': np.float64(68.00092728537207), 'ibi': np.float64(882.3409090909091), 'sdnn': np.float64(179.34767443835528), 'sdsd': np.float64(93.3721273542949), 'rmssd': np.float64(208.79156272863773), 'pnn20': 1.0, 'pnn50': 0.9166666666666666, 'hr_mad': np.float64(179.5), 'sd1': np.float64(120.77646650366582), 'sd2': np.float64(158.978892292167), 's': np.float64(60321.4342159272), 'sd1/sd2': np.float64(0.759701270793271), 'breathingrate': np.float64(0.26666666666666666)}"
0275,"{'bpm': np.float64(79.16232478402635), 'ibi': np.float64(757.9363057324841), 'sdnn': np.float64(48.277552316682), 'sdsd': np.float64(20.947575741352335), 'rmssd': np.float64(35.145925364934556), 'pnn20': 0.5006380263717567, 'pnn50': 0.09825606125053168, 'hr_mad': np.float64(30.0), 'sd1': np.float64(24.85192142861583), 'sd2': np.float64(63.58627818661763), 's': np.float64(4964.474111619349), 'sd1/sd2': np.float64(0.390837805535317), 'breathingrate': np.float64(0.13445830111936535)}"
0276,"{'bpm': np.float64(57.787974467891786), 'ibi': np.float64(1038.2783018867924), 'sdnn': np.float64(78.22082855453476), 'sdsd': np.float64(90.93588958306204), 'rmssd': np.float64(107.80407402824953), 'pnn20': 0.49403341288782815, 'pnn50': 0.2100238663484487, 'hr_mad': np.float64(30.0), 'sd1': np.float64(76.21703523662984), 'sd2': np.float64(77.35578921660588), 's': np.float64(18522.292798267463), 'sd1/sd2': np.float64(0.9852790076669324), 'breathingrate': np.float64(0.3520886809167935)}"
0277,"{'bpm': np.float64(68.65841925568961), 'ibi': np.float64(873.891369047619), 'sdnn': np.float64(44.90621957434228), 'sdsd': np.float64(21.68764367677962), 'rmssd': np.float64(39.37912327901101), 'pnn20': 0.5991058122205664, 'pnn50': 0.14307004470938897, 'hr_mad': np.float64(30.0), 'sd1': np.float64(27.845147397375552), 'sd2': np.float64(57.03936971723702), 's': np.float64(4989.69628707292), 'sd1/sd2': np.float64(0.4881741775095541), 'breathingrate': np.float64(0.22988310018646071)}"
0278,"{'bpm': np.float64(88.45420876631547), 'ibi': np.float64(678.3170731707318), 'sdnn': np.float64(44.66957588023249), 'sdsd': np.float64(41.39453560837555), 'rmssd': np.float64(46.36675789424749), 'pnn20': 0.2004950495049505, 'pnn50': 0.04207920792079208, 'hr_mad': np.float64(20.0), 'sd1': np.float64(32.78222884576907), 'sd2': np.float64(53.97365540406245), 's': np.float64(5558.660914719518), 'sd1/sd2': np.float64(0.6073746274983932), 'breathingrate': np.float64(0.13184231658935913)}"
0279,"{'bpm': np.float64(57.02379891255905), 'ibi': np.float64(1052.1922626025791), 'sdnn': np.float64(37.13705911025995), 'sdsd': np.float64(17.17767119091679), 'rmssd': np.float64(29.53307218934692), 'pnn20': 0.42705882352941177, 'pnn50': 0.05176470588235294, 'hr_mad': np.float64(20.0), 'sd1': np.float64(20.883009103195644), 'sd2': np.float64(48.11186071925002), 's': np.float64(3156.422307259593), 'sd1/sd2': np.float64(0.434051163081293), 'breathingrate': np.float64(0.3119742398413388)}"
0281,"{'bpm': np.float64(64.3406813358351), 'ibi': np.float64(932.5359749739312), 'sdnn': np.float64(52.2470918994875), 'sdsd': np.float64(23.973204783859337), 'rmssd': np.float64(38.13076038080076), 'pnn20': 0.569280343716434, 'pnn50': 0.18045112781954886, 'hr_mad': np.float64(36.0), 'sd1': np.float64(26.960807591074833), 'sd2': np.float64(68.78783488758786), 's': np.float64(5826.3210208308055), 'sd1/sd2': np.float64(0.3919415058655911), 'breathingrate': np.float64(0.11182305120377514)}"
0282,"{'bpm': np.float64(87.24874541637762), 'ibi': np.float64(687.6889714993804), 'sdnn': np.float64(40.269552299927675), 'sdsd': np.float64(15.08181169980594), 'rmssd': np.float64(24.035158855978246), 'pnn20': 0.26633478531425014, 'pnn50': 0.018668326073428748, 'hr_mad': np.float64(30.0), 'sd1': np.float64(16.994944766684696), 'sd2': np.float64(53.799768034159385), 's': np.float64(2872.4338322092235), 'sd1/sd2': np.float64(0.3158925286795661), 'breathingrate': np.float64(0.13514365770814377)}"
0283,"{'bpm': np.float64(73.82244548385422), 'ibi': np.float64(812.7609375), 'sdnn': np.float64(70.50788324096173), 'sdsd': np.float64(37.02122364953713), 'rmssd': np.float64(59.504087208844936), 'pnn20': 0.717687074829932, 'pnn50': 0.3784013605442177, 'hr_mad': np.float64(45.0), 'sd1': np.float64(42.0735777582743), 'sd2': np.float64(88.99374077310543), 's': np.float64(11763.018476451038), 'sd1/sd2': np.float64(0.4727700779040546), 'breathingrate': np.float64(0.14418501821537397)}"
0284,"{'bpm': np.float64(80.86517278978171), 'ibi': np.float64(741.9757842597688), 'sdnn': np.float64(59.44434938593518), 'sdsd': np.float64(18.97702455317435), 'rmssd': np.float64(30.078954752937033), 'pnn20': 0.3938223938223938, 'pnn50': 0.06894649751792609, 'hr_mad': np.float64(40.0), 'sd1': np.float64(21.26903251920581), 'sd2': np.float64(80.64604315550176), 's': np.float64(5388.658627552826), 'sd1/sd2': np.float64(0.26373311928267634), 'breathingrate': np.float64(0.2670286388215136)}"
0285,"{'bpm': np.float64(58.72031462713659), 'ibi': np.float64(1021.7928902627511), 'sdnn': np.float64(43.122345758342306), 'sdsd': np.float64(28.80384029883943), 'rmssd': np.float64(48.55337620142677), 'pnn20': 0.6408668730650154, 'pnn50': 0.24303405572755418, 'hr_mad': np.float64(30.0), 'sd1': np.float64(34.33237793900334), 'sd2': np.float64(50.25827937548211), 's': np.float64(5420.774901998427), 'sd1/sd2': np.float64(0.6831188485881984), 'breathingrate': np.float64(0.3327787021630616)}"
0286,"{'bpm': np.float64(67.00484554815263), 'ibi': np.float64(895.457627118644), 'sdnn': np.float64(50.44881897041446), 'sdsd': np.float64(32.979819551607434), 'rmssd': np.float64(57.72451878197543), 'pnn20': 0.7650085763293311, 'pnn50': 0.41509433962264153, 'hr_mad': np.float64(31.0), 'sd1': np.float64(40.81684047654336), 'sd2': np.float64(58.598969001863374), 's': np.float64(7514.139125600196), 'sd1/sd2': np.float64(0.6965453688314113), 'breathingrate': np.float64(0.13766046047424027)}"
0287,"{'bpm': np.float64(55.707563427140556), 'ibi': np.float64(1077.0530303030303), 'sdnn': np.float64(49.25525881690497), 'sdsd': np.float64(30.40312062942866), 'rmssd': np.float64(45.094500154931396), 'pnn20': 0.600265604249668, 'pnn50': 0.2204515272244356, 'hr_mad': np.float64(32.5), 'sd1': np.float64(31.88621778044903), 'sd2': np.float64(61.10787440850126), 's': np.float64(6121.390117191474), 'sd1/sd2': np.float64(0.5218021096150753), 'breathingrate': np.float64(0.18757546981793455)}"
0288,"{'bpm': np.float64(68.37378559743598), 'ibi': np.float64(877.529296875), 'sdnn': np.float64(38.65978815019704), 'sdsd': np.float64(17.90257932052579), 'rmssd': np.float64(31.191710054894113), 'pnn20': 0.4760508308895406, 'pnn50': 0.05767350928641251, 'hr_mad': np.float64(30.0), 'sd1': np.float64(22.05573864233853), 'sd2': np.float64(49.97633714896074), 's': np.float64(3462.8677219985216), 'sd1/sd2': np.float64(0.4413236323542207), 'breathingrate': np.float64(0.12241400416207614)}"
0289,"{'bpm': np.float64(160.49265528528295), 'ibi': np.float64(373.8488835725678), 'sdnn': np.float64(131.04307600894435), 'sdsd': np.float64(97.77335063309887), 'rmssd': np.float64(219.8625513286762), 'pnn20': 0.9731084776663628, 'pnn50': 0.9371011850501367, 'hr_mad': np.float64(120.0), 'sd1': np.float64(155.42919885477525), 'sd2': np.float64(98.72426975241596), 's': np.float64(48206.58993381316), 'sd1/sd2': np.float64(1.5743767894618599), 'breathingrate': np.float64(0.25596996619063367)}"
0290,"{'bpm': np.float64(77.10783468529337), 'ibi': np.float64(778.1310452418097), 'sdnn': np.float64(82.18707962005811), 'sdsd': np.float64(32.14166298628709), 'rmssd': np.float64(53.18420379889031), 'pnn20': 0.6469608659450458, 'pnn50': 0.2964196502914238, 'hr_mad': np.float64(60.0), 'sd1': np.float64(37.59729998915678), 'sd2': np.float64(110.47621778305871), 's': np.float64(13048.942813101323), 'sd1/sd2': np.float64(0.3403203037144728), 'breathingrate': np.float64(0.13031797586110108)}"
0291,"{'bpm': np.float64(74.21801203681214), 'ibi': np.float64(808.4290909090909), 'sdnn': np.float64(54.08671042528006), 'sdsd': np.float64(32.09983263892985), 'rmssd': np.float64(52.19700077687726), 'pnn20': 0.7038191738113796, 'pnn50': 0.3289166017147311, 'hr_mad': np.float64(37.0), 'sd1': np.float64(36.90790512864964), 'sd2': np.float64(66.65628505672788), 's': np.float64(7728.769830546398), 'sd1/sd2': np.float64(0.5537048021389002), 'breathingrate': np.float64(0.2069126828478382)}"
0292,"{'bpm': np.float64(59.46147949650336), 'ibi': np.float64(1009.056628056628), 'sdnn': np.float64(102.98175862990989), 'sdsd': np.float64(66.22937085085294), 'rmssd': np.float64(118.54426504292172), 'pnn20': 0.8684971098265896, 'pnn50': 0.7052023121387283, 'hr_mad': np.float64(81.0), 'sd1': np.float64(83.78023158967166), 'sd2': np.float64(119.09921641330092), 's': np.float64(31347.313942657223), 'sd1/sd2': np.float64(0.7034490579596722), 'breathingrate': np.float64(0.21683396895447762)}"
0293,"{'bpm': np.float64(61.772185785035475), 'ibi': np.float64(971.3109425785482), 'sdnn': np.float64(45.81646176267497), 'sdsd': np.float64(33.78473323015726), 'rmssd': np.float64(50.224496015390734), 'pnn20': 0.5597826086956522, 'pnn50': 0.21195652173913043, 'hr_mad': np.float64(20.0), 'sd1': np.float64(35.513641745109716), 'sd2': np.float64(53.7360562429753), 's': np.float64(5995.299338915949), 'sd1/sd2': np.float64(0.6608903635303953), 'breathingrate': np.float64(0.12269664926605095)}"
0294,"{'bpm': np.float64(78.14168916163362), 'ibi': np.float64(767.8359739049395), 'sdnn': np.float64(41.569254484131825), 'sdsd': np.float64(27.400519358939476), 'rmssd': np.float64(45.38906262647401), 'pnn20': 0.6496945010183299, 'pnn50': 0.2820773930753564, 'hr_mad': np.float64(29.0), 'sd1': np.float64(32.07912325208167), 'sd2': np.float64(48.78561197786379), 's': np.float64(4916.591433363464), 'sd1/sd2': np.float64(0.6575529536584968), 'breathingrate': np.float64(0.2791668689614992)}"
0295,"{'bpm': np.float64(73.48705468635066), 'ibi': np.float64(816.4703328509406), 'sdnn': np.float64(73.22718194973919), 'sdsd': np.float64(43.9508639484369), 'rmssd': np.float64(69.27587044862803), 'pnn20': 0.7389937106918238, 'pnn50': 0.4418238993710692, 'hr_mad': np.float64(42.0), 'sd1': np.float64(48.98418582127458), 'sd2': np.float64(89.76864893504057), 's': np.float64(13814.350013055646), 'sd1/sd2': np.float64(0.5456714164955415), 'breathingrate': np.float64(0.1772483959020171)}"
0296,"{'bpm': np.float64(60.54259876249405), 'ibi': np.float64(991.0377358490566), 'sdnn': np.float64(40.91668929420059), 'sdsd': np.float64(37.51549387718131), 'rmssd': np.float64(44.14116084085522), 'pnn20': 0.23522458628841608, 'pnn50': 0.06501182033096926, 'hr_mad': np.float64(20.0), 'sd1': np.float64(31.212110160779787), 'sd2': np.float64(48.29022080380684), 's': np.float64(4735.133141753962), 'sd1/sd2': np.float64(0.6463443248186443), 'breathingrate': np.float64(0.19039006163878247)}"
0297,"{'bpm': np.float64(78.93957379977635), 'ibi': np.float64(760.0750436300175), 'sdnn': np.float64(66.90588546469473), 'sdsd': np.float64(28.170899512419602), 'rmssd': np.float64(47.05023427629819), 'pnn20': 0.6763636363636364, 'pnn50': 0.2790909090909091, 'hr_mad': np.float64(46.0), 'sd1': np.float64(33.26953866365691), 'sd2': np.float64(88.2811406228387), 's': np.float64(9227.086398213256), 'sd1/sd2': np.float64(0.3768589579714825), 'breathingrate': np.float64(0.1492468772961058)}"
0298,"{'bpm': np.float64(55.144975050288394), 'ibi': np.float64(1088.0411124546554), 'sdnn': np.float64(79.13396568479217), 'sdsd': np.float64(44.63839309564241), 'rmssd': np.float64(80.19422548695626), 'pnn20': 0.7917675544794189, 'pnn50': 0.5472154963680388, 'hr_mad': np.float64(60.0), 'sd1': np.float64(56.705828313430246), 'sd2': np.float64(96.485425375171), 's': np.float64(17188.551796703032), 'sd1/sd2': np.float64(0.5877139277039721), 'breathingrate': np.float64(0.21115568842311153)}"
0299,"{'bpm': np.float64(63.324773036796095), 'ibi': np.float64(947.4964871194379), 'sdnn': np.float64(198.38552551128913), 'sdsd': np.float64(166.7938731853655), 'rmssd': np.float64(344.47832002548586), 'pnn20': 0.9788029925187033, 'pnn50': 0.9389027431421446, 'hr_mad': np.float64(95.0), 'sd1': np.float64(243.58291366628433), 'sd2': np.float64(145.213452111003), 's': np.float64(111122.89408540142), 'sd1/sd2': np.float64(1.6774128713646066), 'breathingrate': np.float64(0.3460549733043306)}"
0300,"{'bpm': np.float64(77.66295429947981), 'ibi': np.float64(772.5691166554282), 'sdnn': np.float64(59.653628598362126), 'sdsd': np.float64(43.210533702997616), 'rmssd': np.float64(76.3835262961255), 'pnn20': 0.7215447154471545, 'pnn50': 0.5643631436314364, 'hr_mad': np.float64(40.0), 'sd1': np.float64(54.011304103364864), 'sd2': np.float64(64.82948960353822), 's': np.float64(11000.366089229377), 'sd1/sd2': np.float64(0.833128633800274), 'breathingrate': np.float64(0.31421289669378205)}"
0301,"{'bpm': np.float64(54.36700855314091), 'ibi': np.float64(1103.610472541507), 'sdnn': np.float64(94.39423182290847), 'sdsd': np.float64(48.301721431137025), 'rmssd': np.float64(73.31842767500333), 'pnn20': 0.7251700680272108, 'pnn50': 0.4421768707482993, 'hr_mad': np.float64(57.0), 'sd1': np.float64(51.83513722608598), 'sd2': np.float64(122.47206684843917), 's': np.float64(19943.949801752962), 'sd1/sd2': np.float64(0.4232404870755767), 'breathingrate': np.float64(0.1157273463719477)}"
0302,"{'bpm': np.float64(59.48635947568418), 'ibi': np.float64(1008.6345933562428), 'sdnn': np.float64(78.97658994047644), 'sdsd': np.float64(42.079163566938725), 'rmssd': np.float64(70.58314426177614), 'pnn20': 0.765867418899859, 'pnn50': 0.4837799717912553, 'hr_mad': np.float64(47.0), 'sd1': np.float64(49.65545096610551), 'sd2': np.float64(98.82410410700024), 's': np.float64(15416.283529821274), 'sd1/sd2': np.float64(0.5024629508641116), 'breathingrate': np.float64(0.12493327427396732)}"
0303,"{'bpm': np.float64(70.52715565194916), 'ibi': np.float64(850.736137667304), 'sdnn': np.float64(32.28306291305039), 'sdsd': np.float64(14.014917587437452), 'rmssd': np.float64(22.237063806565097), 'pnn20': 0.24639076034648702, 'pnn50': 0.009624639076034648, 'hr_mad': np.float64(20.0), 'sd1': np.float64(15.723925590081867), 'sd2': np.float64(42.988641492490224), 's': np.float64(2123.5601826590196), 'sd1/sd2': np.float64(0.3657693065929686), 'breathingrate': np.float64(0.24722712306291933)}"
0304,"{'bpm': np.float64(65.98449412692918), 'ibi': np.float64(909.3045387994143), 'sdnn': np.float64(205.45136060707833), 'sdsd': np.float64(174.26551153928517), 'rmssd': np.float64(306.79077436417913), 'pnn20': 0.9271402550091075, 'pnn50': 0.8451730418943534, 'hr_mad': np.float64(192.0), 'sd1': np.float64(216.84417517940358), 'sd2': np.float64(193.63743324205032), 's': np.float64(131912.8035846957), 'sd1/sd2': np.float64(1.1198463620840522), 'breathingrate': np.float64(0.1932242689681824)}"
0305,"{'bpm': np.float64(61.74200661521499), 'ibi': np.float64(971.7857142857143), 'sdnn': np.float64(85.16864204697735), 'sdsd': np.float64(40.73951017386257), 'rmssd': np.float64(67.56859224506942), 'pnn20': 0.7345276872964169, 'pnn50': 0.44136807817589574, 'hr_mad': np.float64(50.0), 'sd1': np.float64(47.77815980554044), 'sd2': np.float64(109.89542777179753), 's': np.float64(16495.250502359504), 'sd1/sd2': np.float64(0.43476021499960665), 'breathingrate': np.float64(0.11693561858942232)}"
0306,"{'bpm': np.float64(72.9752089692751), 'ibi': np.float64(822.1970289288506), 'sdnn': np.float64(80.7959153934225), 'sdsd': np.float64(37.32709492324348), 'rmssd': np.float64(51.7346350724677), 'pnn20': 0.5043894652833201, 'pnn50': 0.18834796488427774, 'hr_mad': np.float64(50.0), 'sd1': np.float64(36.569180963494176), 'sd2': np.float64(107.34062925617074), 's': np.float64(12331.878670390277), 'sd1/sd2': np.float64(0.34068349717068486), 'breathingrate': np.float64(0.12362232428988484)}"
0307,"{'bpm': np.float64(70.0334646199119), 'ibi': np.float64(856.7332820906995), 'sdnn': np.float64(58.24763885246657), 'sdsd': np.float64(24.77150760564771), 'rmssd': np.float64(42.47039486317528), 'pnn20': 0.5858921161825726, 'pnn50': 0.2074688796680498, 'hr_mad': np.float64(40.0), 'sd1': np.float64(30.023255048969506), 'sd2': np.float64(76.50491519414157), 's': np.float64(7216.00767387809), 'sd1/sd2': np.float64(0.3924356359690281), 'breathingrate': np.float64(0.2691524389696845)}"
0308,"{'bpm': np.float64(223.0810552703832), 'ibi': np.float64(268.96053511705685), 'sdnn': np.float64(149.65917728469927), 'sdsd': np.float64(122.39162389640887), 'rmssd': np.float64(262.76464754605024), 'pnn20': 1.0, 'pnn50': 0.978, 'hr_mad': np.float64(92.0), 'sd1': np.float64(185.8025586476139), 'sd2': np.float64(132.86682683047712), 's': np.float64(77556.48648071811), 'sd1/sd2': np.float64(1.39841195187627), 'breathingrate': np.float64(0.17409037777611974)}"
0309,"{'bpm': np.float64(69.05970696677798), 'ibi': np.float64(868.8134171907757), 'sdnn': np.float64(69.60510647382604), 'sdsd': np.float64(33.35298944222089), 'rmssd': np.float64(55.35660104840037), 'pnn20': 0.716915995397008, 'pnn50': 0.34522439585730724, 'hr_mad': np.float64(47.0), 'sd1': np.float64(39.14015324129977), 'sd2': np.float64(91.41829421863294), 's': np.float64(11241.014495885083), 'sd1/sd2': np.float64(0.42814355240203333), 'breathingrate': np.float64(0.19304087640557888)}"
0310,"{'bpm': np.float64(71.00532456477107), 'ibi': np.float64(845.0070521861777), 'sdnn': np.float64(54.32396376484521), 'sdsd': np.float64(26.476927887663468), 'rmssd': np.float64(47.15828473294299), 'pnn20': 0.6817538896746818, 'pnn50': 0.2376237623762376, 'hr_mad': np.float64(40.0), 'sd1': np.float64(33.34582143282308), 'sd2': np.float64(68.41507105768613), 's': np.float64(7167.093583409029), 'sd1/sd2': np.float64(0.4874046159318696), 'breathingrate': np.float64(0.2503713842199262)}"
0311,"BadSignalWarning: 
----------------
Could not determine best fit for given signal. Please check the source signal.
 Probable causes:
- detected heart rate falls outside of bpmmin<->bpmmax constraints
- no detectable heart rate present in signal
- very noisy signal (consider filtering and scaling)
If you're sure the signal contains heartrate data, consider filtering and/or scaling first.
----------------
"
0312,"{'bpm': np.float64(52.10209299920474), 'ibi': np.float64(1151.5852156057495), 'sdnn': np.float64(59.90091430867408), 'sdsd': np.float64(54.854728788534544), 'rmssd': np.float64(70.09851624819187), 'pnn20': 0.5594059405940595, 'pnn50': 0.2202970297029703, 'hr_mad': np.float64(20.0), 'sd1': np.float64(49.5664774835616), 'sd2': np.float64(55.66302291809486), 's': np.float64(8667.716875572241), 'sd1/sd2': np.float64(0.8904740505469133), 'breathingrate': np.float64(0.21397239756071468)}"
0313,"{'bpm': np.float64(65.30376951111472), 'ibi': np.float64(918.783103168156), 'sdnn': np.float64(39.03572785518825), 'sdsd': np.float64(29.128011274999935), 'rmssd': np.float64(50.282439078941145), 'pnn20': 0.7137989778534923, 'pnn50': 0.3364565587734242, 'hr_mad': np.float64(26.0), 'sd1': np.float64(35.555030057725844), 'sd2': np.float64(42.286684186966944), 's': np.float64(4723.398149314951), 'sd1/sd2': np.float64(0.8408091280111331), 'breathingrate': np.float64(0.3713495017727518)}"
0314,"{'bpm': np.float64(71.009735114331), 'ibi': np.float64(844.9545671927308), 'sdnn': np.float64(22.587612344211834), 'sdsd': np.float64(13.066417300962257), 'rmssd': np.float64(15.12126086411057), 'pnn20': 0.01253012048192771, 'pnn50': 0.006746987951807229, 'hr_mad': np.float64(20.0), 'sd1': np.float64(10.691790010991369), 'sd2': np.float64(29.518451435971702), 's': np.float64(991.502613967909), 'sd1/sd2': np.float64(0.36220700920517007), 'breathingrate': np.float64(0.3339370613538601)}"
0315,"BadSignalWarning: 
----------------
Could not determine best fit for given signal. Please check the source signal.
 Probable causes:
- detected heart rate falls outside of bpmmin<->bpmmax constraints
- no detectable heart rate present in signal
- very noisy signal (consider filtering and scaling)
If you're sure the signal contains heartrate data, consider filtering and/or scaling first.
----------------
"
0316,"{'bpm': np.float64(71.50885236415432), 'ibi': np.float64(839.0569561157796), 'sdnn': np.float64(50.03777775154222), 'sdsd': np.float64(22.56349625917612), 'rmssd': np.float64(35.20832526866762), 'pnn20': 0.44205607476635517, 'pnn50': 0.1102803738317757, 'hr_mad': np.float64(30.0), 'sd1': np.float64(24.89604204335307), 'sd2': np.float64(66.25029890489049), 's': np.float64(5181.649387944308), 'sd1/sd2': np.float64(0.3757876183939041), 'breathingrate': np.float64(0.14466465619888053)}"
0317,"{'bpm': np.float64(61.38364507952635), 'ibi': np.float64(977.4590596936081), 'sdnn': np.float64(36.902479077046166), 'sdsd': np.float64(15.863110868046993), 'rmssd': np.float64(24.28629557059645), 'pnn20': 0.2669491525423729, 'pnn50': 0.0323093220338983, 'hr_mad': np.float64(20.0), 'sd1': np.float64(17.17261180735443), 'sd2': np.float64(49.12385974905862), 's': np.float64(2650.200356838508), 'sd1/sd2': np.float64(0.34957782012810007), 'breathingrate': np.float64(0.3350771758398547)}"
0318,"{'bpm': np.float64(70.77949799179292), 'ibi': np.float64(847.7031019202363), 'sdnn': np.float64(63.39015812372775), 'sdsd': np.float64(43.11800814422267), 'rmssd': np.float64(76.73273998644106), 'pnn20': 0.8535433070866142, 'pnn50': 0.5622047244094488, 'hr_mad': np.float64(40.0), 'sd1': np.float64(54.23123960868587), 'sd2': np.float64(70.26802424254194), 's': np.float64(11971.736427080199), 'sd1/sd2': np.float64(0.7717769240458163), 'breathingrate': np.float64(0.15682447855860876)}"
0319,"{'bpm': np.float64(72.2259408805303), 'ibi': np.float64(830.7264573991031), 'sdnn': np.float64(71.76240632941732), 'sdsd': np.float64(39.28434935127377), 'rmssd': np.float64(59.554254186910214), 'pnn20': 0.6759112519809826, 'pnn50': 0.3462757527733756, 'hr_mad': np.float64(43.0), 'sd1': np.float64(42.106632291275574), 'sd2': np.float64(92.2025512261912), 's': np.float64(12196.727432327023), 'sd1/sd2': np.float64(0.4566753493401677), 'breathingrate': np.float64(0.14394961763382816)}"
0320,"{'bpm': np.float64(62.280620727877334), 'ibi': np.float64(963.3815350389322), 'sdnn': np.float64(57.21298861416203), 'sdsd': np.float64(30.547978527733882), 'rmssd': np.float64(57.208285938023096), 'pnn20': 0.7212020033388982, 'pnn50': 0.41569282136894825, 'hr_mad': np.float64(40.0), 'sd1': np.float64(40.452354678418345), 'sd2': np.float64(70.08217822363356), 's': np.float64(8906.381024250191), 'sd1/sd2': np.float64(0.5772131475328023), 'breathingrate': np.float64(0.26556438204322924)}"
