ID,HeartPy_Metrics
0013,"{'bpm': np.float64(72.23424242218711), 'ibi': np.float64(830.6309859154929), 'sdnn': np.float64(52.389996334504346), 'sdsd': np.float64(32.04422227433416), 'rmssd': np.float64(52.14629346684285), 'pnn20': 0.6941747572815534, 'pnn50': 0.31359223300970873, 'hr_mad': np.float64(33.0), 'sd1': np.float64(36.871627703341574), 'sd2': np.float64(64.01853943186131), 's': np.float64(7415.628148854789), 'sd1/sd2': np.float64(0.5759523417835268), 'breathingrate': np.float64(0.3052157988740928)}"
0014,"{'bpm': np.float64(47.583991433543034), 'ibi': np.float64(1260.928270042194), 'sdnn': np.float64(36.960604369349966), 'sdsd': np.float64(17.30878043602447), 'rmssd': np.float64(26.625995980842312), 'pnn20': 0.3267605633802817, 'pnn50': 0.028169014084507043, 'hr_mad': np.float64(20.0), 'sd1': np.float64(18.826705166204608), 'sd2': np.float64(47.953925050949735), 's': np.float64(2836.2751132876315), 'sd1/sd2': np.float64(0.3925998788670948), 'breathingrate': np.float64(0.23981617811091777)}"
0015,"{'bpm': np.float64(72.37772256621359), 'ibi': np.float64(828.9843597262952), 'sdnn': np.float64(60.437455045614186), 'sdsd': np.float64(30.403579346390497), 'rmssd': np.float64(50.10922986192635), 'pnn20': 0.6890495867768595, 'pnn50': 0.3119834710743802, 'hr_mad': np.float64(43.0), 'sd1': np.float64(35.431884920280424), 'sd2': np.float64(78.31908745892041), 's': np.float64(8717.897289258484), 'sd1/sd2': np.float64(0.45240421038951717), 'breathingrate': np.float64(0.14150109073757441)}"
0016,"{'bpm': np.float64(62.89007225522432), 'ibi': np.float64(954.045652173913), 'sdnn': np.float64(105.37075373160226), 'sdsd': np.float64(51.1691652766658), 'rmssd': np.float64(89.71100027132766), 'pnn20': 0.8190709046454768, 'pnn50': 0.5990220048899756, 'hr_mad': np.float64(80.0), 'sd1': np.float64(60.15858813662254), 'sd2': np.float64(126.47136071565939), 's': np.float64(23902.300338791727), 'sd1/sd2': np.float64(0.4756696519765826), 'breathingrate': np.float64(0.2050767898646493)}"
0017,"{'bpm': np.float64(72.32419855222336), 'ibi': np.float64(829.5978552278821), 'sdnn': np.float64(68.0608007294665), 'sdsd': np.float64(48.168210387142324), 'rmssd': np.float64(64.26345280878141), 'pnn20': 0.5863309352517986, 'pnn50': 0.26258992805755393, 'hr_mad': np.float64(30.0), 'sd1': np.float64(45.43674476062646), 'sd2': np.float64(75.99474902113133), 's': np.float64(10847.774964888435), 'sd1/sd2': np.float64(0.5978932142797416), 'breathingrate': np.float64(0.12926577042399173)}"
0018,"{'bpm': np.float64(63.78891667572759), 'ibi': np.float64(940.6022727272727), 'sdnn': np.float64(120.1820311065482), 'sdsd': np.float64(68.82011851077142), 'rmssd': np.float64(107.88071159333487), 'pnn20': 0.8295454545454546, 'pnn50': 0.6105371900826446, 'hr_mad': np.float64(86.0), 'sd1': np.float64(75.96473658543303), 'sd2': np.float64(151.11323913747609), 's': np.float64(36063.21356610909), 'sd1/sd2': np.float64(0.5027007363419939), 'breathingrate': np.float64(0.14094858397011892)}"
0019,"{'bpm': np.float64(58.338469780945495), 'ibi': np.float64(1028.4808673469388), 'sdnn': np.float64(88.24868988599574), 'sdsd': np.float64(48.59520529015203), 'rmssd': np.float64(75.1315607481606), 'pnn20': 0.7855113636363636, 'pnn50': 0.4502840909090909, 'hr_mad': np.float64(51.5), 'sd1': np.float64(53.12365282040954), 'sd2': np.float64(111.2820756989214), 's': np.float64(18572.18582004908), 'sd1/sd2': np.float64(0.4773783422600594), 'breathingrate': np.float64(0.12402485458085799)}"
0020,"BadSignalWarning: 
----------------
Could not determine best fit for given signal. Please check the source signal.
 Probable causes:
- detected heart rate falls outside of bpmmin<->bpmmax constraints
- no detectable heart rate present in signal
- very noisy signal (consider filtering and scaling)
If you're sure the signal contains heartrate data, consider filtering and/or scaling first.
----------------
"
0021,"{'bpm': np.float64(61.28018825584357), 'ibi': np.float64(979.1092636579573), 'sdnn': np.float64(66.75687041731254), 'sdsd': np.float64(31.449318167865627), 'rmssd': np.float64(52.561241878355524), 'pnn20': 0.6495828367103695, 'pnn50': 0.2872467222884386, 'hr_mad': np.float64(40.0), 'sd1': np.float64(37.166409604195), 'sd2': np.float64(86.71452036151378), 's': np.float64(10124.936492002198), 'sd1/sd2': np.float64(0.4286065292092701), 'breathingrate': np.float64(0.242600679281902)}"
0022,"{'bpm': np.float64(63.18134414318063), 'ibi': np.float64(949.647412755716), 'sdnn': np.float64(56.69191437197509), 'sdsd': np.float64(29.28131124827692), 'rmssd': np.float64(48.51114320750466), 'pnn20': 0.6842837273991655, 'pnn50': 0.28789986091794156, 'hr_mad': np.float64(42.0), 'sd1': np.float64(34.30183186459755), 'sd2': np.float64(72.45482657725564), 's': np.float64(7807.904771127897), 'sd1/sd2': np.float64(0.47342369701241227), 'breathingrate': np.float64(0.12672343876723438)}"
